,organizations,label,score,link,summary
121,"['HealthandHumanServices', 'MiddlesexEyePhysicians']",POSITIVE,0.6013708114624023,CMS-2015-0081-2645," Kristy G. Mascarenhas, MDMiddlesex Eye Physicians Middletown, CT, wrote a letter to the Department of Health and Human Services requesting comments on the proposed fee reductions . Sincerely, Kristy Maschenhas is a physician at Middlesex eye Physicians in Connecticut . The letter is sent to CMS-1631-FC ."
123,,NEGATIVE,-0.9567553997039795,CMS-2015-0081-2649," In all sense reality, as I view these comments I do not see many from my state and I worry that many did not know about the comment period . Nationwide with over approximately 689,000 physicians; which does not include other healthcare providers, administrators, managers, billers in the healthcare field who may have say over the rule ."
129,"['RadiologyBusinessManagementAssociation', 'RBMA', 'CMS']",NEGATIVE,-0.930668830871582,CMS-2015-0081-267," Radiology Business Management Association's (RBMA) comment letter on CMS' 2016 Medicare Physician Fee Schedule (MPFS) final rule is attached . The RBMA's comment letter is attached to the final rule on the 2016 Medicare physician fee schedule . The 2016 MPFS final rule will be released on July 1, 2016 ."
133,,NEGATIVE,-0.9973992109298706,CMS-2015-0114-0013, Resubmitting comments of Justice in Aging included a draft mark . Original submission included draft mark. This substitute submission removes draft mark removed from original submission . Our apologies for the error. The draft mark was included in the original submission of this submission. The error was printed with the draft mark of the letter .
135,['NewMexicoHealthConnections'],NEGATIVE,-0.7341002225875854,CMS-2015-0128-0439," Please read the attached letter from New Mexico Health Connections CEO, Martin Hickey, M.D. Hickey . Hickey: ""Please read this letter to your health care provider. Please read it carefully"" Hickey is a New Mexico health care CEO and a former health care executive ."
137,"['ChristieStudentHealth', 'HHS']",POSITIVE,0.9991323351860046,CMS-2015-0128-0419," Christie Student Health provided comments on the Notice of Proposed Rule Making (NPRM) regarding the HHS Notice of Benefit and Payment parameters for 2017 (2017 Notice) published in the Federal Register on December 2, 2015 . Christie Student health provided the attached comments . The comments are being considered for consideration in the proposed rule making ."
141,"['CPCA', 'MS']",NEGATIVE,-0.8188725709915161,CMS-2015-0128-0456, CPCA's comments on the CMS Proposed Rule: Patient Protection and Affordable Care Act: Benefit and Payment parameters for 2017 . Attached please find CPCA’s comments about the proposed rule . Please contact Meaghan McCamman at mmccamman@cpca.org with any questions .
143,"['CMS', 'SargentShriverNationalCenteronPo']",POSITIVE,0.9994245767593384,CMS-2015-0128-0363, CMS Proposed Rule: Patient Protection and Affordable Care Act: Benefit and Payment parameters for 2017 on behalf of the Sargent Shriver National Center on Poverty Law . Please see the attached comments on the proposed rule: Patient protection and Affordable care Act: Benefits and Payment Parameters for 2017 .
152,['C'],NEGATIVE,-0.9805410504341125,CMS-2011-0062-0223, CMS-2328-FC/RIN 0938-AQ54 Medicaid Program:  Methods for Assuring Access to Covered Medicaid Services . Final Rule with Comment Period with Comment period is closed . Please accept the attached document for comment on the final rule with comment period .
154,['AmericanAcademyofActuaries'],NEGATIVE,-0.5524871349334717,CMS-2015-0128-0049, Comments from American Academy of Actuaries' Risk Sharing Subcommittee on the benefit and payment parameters for 2017 proposed rule . Attached are comments from the AMA's Risk Sharing subcommittee on the benefits and payments parameters for the proposed rule.   The proposed rule would be the first step in the process of implementing a new rule to implement a new tax code .
157,['DignityHealth'],POSITIVE,0.5096237659454346,CMS-2018-0053-0088," If you have any questions, please contact Katie Roe Ryan at 702-616-4847 . Please see the attached comments from Dignity Health . If you want to know more about the situation, please call the National Suicide Prevention Hotline at 1-800-273-8255 ."
159,['CMS'],NEGATIVE,-0.9763588905334473,CMS-2018-0053-0082," CMS strongly urging CMS to maintain TOB-1 (NQF #1651; Tobacco Use Screening), TOB 3 and TOB3a in its Final Rule for FY 2020 payment determination in the Inpatient Psychiatric Facility Quality Reporting Program (IPFQR)"
160,,NEGATIVE,-0.9920036196708679,CMS-2017-0120-0083, Medicare Program: Cancellation of Advancing Care Coordination through Episode Payment and Cardiac Rehabilitation Incentive Payment Models; Changes to Comprehensive Care for Joint Replacement Payment Model (CMS-5524-P) Please see attached file responsive to the proposed rule .
162,"['SVS', 'CMS', 'APC', 'TexasVascularAssociates', 'CMS']",NEGATIVE,-0.9991008639335632,CMS-2017-0091-3435," Texas Vascular Associates is a 14 provider private practice specializing in providing excellent vascular care . The SVS believes that the reassignment from level 3 to level 2 represents a mistake . CMS did not implement what it proposed in the 2018 HOPPS Proposed Rule, which was to make ""minor reassignments"" to maintain payment stability for diagnostic imaging procedures ."
164,"['SVS', 'CMS', 'APC', 'TexasVascularAssociates', 'CMS']",NEGATIVE,-0.9991008639335632,CMS-2017-0091-3431," Texas Vascular Associates is a 14 provider private practice specializing in providing excellent vascular care . The SVS believes that the reassignment from level 3 to level 2 represents a mistake . CMS did not implement what it proposed in the 2018 HOPPS Proposed Rule, which was to make ""minor reassignments"" to maintain payment stability for diagnostic imaging procedures ."
165,,POSITIVE,0.9220058917999268,CMS-2017-0091-3426," Jessica Simons, MD MPH, writes to Administrator Verma . Simons: ""Please see my attached letter with comments. Regardardard,    Jessica Simmons, MD, is a member of the National Institute for Mental Health and Prevention Prevention Council ."
166,"['HealthandHumanServices', 'C', 'AmericanGlaucomaSociety']",NEGATIVE,-0.9754887223243713,CMS-2015-0081-2638," Dr. Heather Dealy asks for your time and consideration as you read how these reductions in fees will impact my business (potentially causing me to fire employees) Please reconsider and listen to the collective voice of the American Glaucoma Society, which like myself, strives to offer the best care ."
167,['AmericanPodiatricMedicalAssociation'],NEGATIVE,-0.8958799242973328,CMS-2015-0081-2652," CMS-1631-FC Medicare Program: Revisions to Payment Policies under the Physician Fee Schedule . American Podiatric Medical Association has commented on the changes to Medicare Part B for CY 2016 (November 16, 2015) Please see attached comments from the American Podiat Medical Association ."
169,"['AmericanHospitalAssociation', 'CMS']",POSITIVE,0.9828147292137146,CMS-2018-0082-0049, American Hospital Association's Comment Letter to CMS's Request for Information Regarding Physician Self-Referral Law. Please find the letter below to read the letter . CMS's request for information regarding physician self-referections is published in advance for the first time in the U.S.
176,"['Health&HumanServices', 'C', 'C', 'CentersforMedicare&MedicaidServices', 'CMS', 'CMS']",POSITIVE,0.8261397480964661,CMS-2018-0076-1379, The proposed change would align Medicare requirements with New York State law and scope of practice that currently allows RAs to perform their duties under direct supervision . The RA is able to spend more time with the patient . The personal attention provided to the patient directly contributes to patient satisfaction .
177,"['ServicesDepartmentofHealthandHumanServices', 'rt', 'C', 'Centersfor', 'and', 'dicaidServices', 'CMS', 'CMS', 'CMS']",NEGATIVE,-0.9934443235397339,CMS-2018-0082-005," Physician Self- Referral for physical therapy services and MRI/Diagnostics could save millions of dollars . Physical Therapy services and businesses should be owned by Physical Therapists not GREEDY doctors! Dr Rudolph Jones, PT, DPT, has been a Physical Therapist for 25 years ."
180,"['PharmacyQualityAlliance', 'CMS', 'CMS']",NEGATIVE,-0.9959405064582825,CMS-2017-0163-0416," Anticoagulant medications are major contributors to serious and avoidable adverse drug events, particularly among seniors . CMS has concluded that such a measure is not worthy of implementation for Medicare Managed Care and Part D plans for 2019 . Pharmacy Quality Alliance has developed a robust, claims-based measure of adherence to NWOAs ."
184,"['AmericanMedicalRehabilitationProvidersAssociation', 'AMRPA', 'CentersforMedicareandMedicaidServices', 'CMS']",NEGATIVE,-0.8333570957183838,CMS-2017-0163-0401," On behalf of the American Medical Rehabilitation Providers Association, I am submitting this letter regarding the proposed updates to the Medicare Advantage (MA), Part C and Part D programs . Our comments focus on concerns regarding MA enrollee access to medical rehabilitation services, particularly access to inpatient rehabilitation facilities (IRFs)"
185,['ChangeHealthcare'],NEGATIVE,-0.9286128282546997,CMS-2017-0163-0500," Medicare Advantage Capitation Rates, Part C and Part D Payment Policies and 2019 draft Call Letter . Change Healthcare is submitting comments on the Advance Notice of Methodological Changes for Calendar Year (CY 2019) 2019 for Medicare Advantage (MA) Capitation rates, Part . C and D payment policies ."
193,"['FamiliesforIn', 'ablePainRelief', 'FIPR', 'FIPR', 'FIPR']",NEGATIVE,-0.9281113743782043,CMS-2017-0163-1040," Families for Intractable Pain Relief (FIPR) is comprised of severe intractable pain patients and their family members . FIPR opposes the proposed policies that will implement hard edits on opioid prescriptions at or above 90 mg MED . This proposal will, if implemented, deny effective analgesia to millions of seniors, and poor and disabled citizens ."
195,['Mail'],NEGATIVE,-0.99283766746521,CMS-2017-0163-0966," Acute pain restrictions? Is this a way for the government to save money OR actually treat Americans as though we live in a Third World country without adequate Health Care? This gov't has become Tyrannical to its people. This is Tyranny. People who are Sick; Intractable Pain Patients, Elderly and Disabled Americans, including our Veterans, are dying from uncontrolled pain ."
199,['C'],POSITIVE,0.9967670440673828,CMS-2018-0020-0009, Document Identifier: CMS-10421 . Please see the attached for our comment submission and a supporting document . The Council for Medicare Integrity is happy to hear from the public . Please submit your comment to the council for consideration . The comment is required to be considered a valid version of this article .
201,,POSITIVE,0.9918611645698547,CMS-2017-0165-6030, American Society for Dermatologic Surgery Association. Please accept these comments on behalf of the American Society of Dermatologists Association. We are happy to clarify that this is not the first time we've heard from such a person who has been in the U.S. This is the first of its kind .
205,"['Bio-RadLaboratoriesQualitySystemsDivision', 'RFI', 'L', 'io-Rad', 'CMS', 'L', 'L', 'Bio-RadCMS']",POSITIVE,0.9883717894554138,CMS-2017-0165-6700," Request for Information: Revisions to Personnel Regulations, Proficiency Testing Referral, Histocompatibility Regulations and Fee Regulations Under the Clinical Laboratory Improvement Amendments of 1988 (CLIA) RFI asks specific questions regarding:1.Proficiency testing2.Personnel3.CLIA fees4.Histopathology requirements ."
214,,NEGATIVE,-0.999078094959259,CMS-2017-0165-6371, I apologize but the wrong version of COLA's comment letter was submitted . Please use this version of the comment letter as a guide to COLA. Please use it as a reference to the COLA comment letter. I apologize for sending the incorrect version of this article .
216,"['ASCP', 'MS']",NEGATIVE,-0.986804723739624,CMS-2017-0165-6216, ASCP submitted two comment submissions to the CMS CLIA RFI . This one pertains largely to the nursing degree and other testing personnel issues . The attached file represents one of two comments submitted by ASCP . Please see the attached file outlining ASCP's comments on the CMS RFI.
220,"['HealthPocket', 'CMS']",NEGATIVE,-0.824018120765686,CMS-2018-0015-0719," The attached comments from HealthPocket are offered with respect to CMS' Proposed Rule ""Short-Term, Limited Duration Insurance"" (CMS-9924-P) HealthPocket.com offers a view of the proposed rule . HealthPocket provided a summary of its comments on the proposed Rule . The proposed rule is proposed by CMS for short-term, limited duration insurance ."
221,,NEGATIVE,-0.9998077750205994,CMS-2018-0015-1295," This program in superfluous, inconsistant, and a waste of taxpayer monies. Please do not pursue. This program is superfluous and inconsistant . Please don't pursue. The program is unnecessary, inconsistent, and  waste of taxpayers' money. It is a waste ."
222,"['AppalachianRegionalHealthcare,Inc', 'CMS']",NEGATIVE,-0.8508356809616089,CMS-2017-0055-003," Trena Hall: ""More thought MUST be given to the consequences of decisions made that impact access to healthcare"" ""I urge you to reconsider the changes to the definitions and calculation methods proposed for the DSH program over the next several years,"" Hall writes . ""I am frustrated because after 40 years of trying at a grass roots level to make a difference, I am still fighting the same battles"""
223,"['Health', 'CMS']",POSITIVE,0.9981113076210022,CMS-2014-0132-0238," Kathryn Soady: Delaying the effective date of the Conditions of Participation (CoPs) for Home Health Agencies (HHAs) to January 13, 2018 will allow HHAs to effectively and efficiently come into compliance with the new CoPs . Kathryn is a physical therapist and Home Health Administrator practicing in Washington state ."
224,,NEGATIVE,-0.8642085194587708,CMS-2017-0055-0505, Older patients may have difficulty obtaining a bone marrow or cord blood transplant if they are in the Medicare program . CMS addressed a similar problem in the context of solid organs and decided to pay the cost of obtaining the organs separate from the hospital bundled payment . I ask that you do the same for bone marrow and cord blood transplants .
225,['HCRIS'],NEGATIVE,-0.9996110796928406,CMS-2015-0049-0341," St. Dominic - Jackson Memorial Hospital's information included in Table 18 regarding Medicaid days is not in agreement with the Amended 2012 Medicare cost report filed in December 2013/January 2014 . Total Medicaid days should be 22,908 based on the attached support . HCRIS data is only picking up ""paid"" days rather than including the other eligible or out of state uncompensated days ."
230,"['&', 'HubertH.Humphrey', 'C', 'PACKAK']",POSITIVE,0.9896689653396606,CMS-2015-0033-1340," CMS-3310 & 3311-FC, Medicare and Medicaid Programs; Electronic Health Record Incentive Program-Stage 3 and Modifications to Meaningful Use in 2015 Through 2017 Final Rule with Comment Period; Oct. 16, 2015. Please see the attached document for detailed comments ."
231,"['AmericanAcademyofDermatologyAssociation', 'AmericanAcademyofFacialPlasticandRecon', 'ructiveSurgery', 'AmericanAcademyofNeurology', 'AmericanAcademyofOphthalmology', 'AmericanAcademyofOtolaryngology', 'HeadandNeckSurgery', 'AmericanAssociationofNeurologicalSurgeons', 'CongressofNeurologicalSurgeons', 'AmericanAcademyofPhysicalMedicineandRehabilitation', 'AmericanCollegeofGastroenterology', 'AmericanCollegeofRheumatology', 'AmericanGastroenterologicalAssociation', 'AmericanSocietyofClinicalOncology', 'AmericanSocietyofPlasticSurgeons', 'AmericanUrologicalAssociation', 'NorthAmericanSpineSociety', 'SocietyforInterventionalRadiology', 'SocietyofNeuroInterventional']",POSITIVE,0.9202780723571777,CMS-2015-0033-1380," The American Academy of Dermatology Association is one of the largest associations of surgeons in the world . The Society for Interventional Radiology, Society of NeuroInterventional, and Surgery Society for Vascular Surgery are also represented by many of the world's top surgeons . The society is also known as the American Association of Neurological Surgeons ."
232,,NEGATIVE,-0.998367190361023,CMS-2018-0076-0447," Neurologists require a great deal of time and effort to interview, examine, educate and counsel patients . The complexity variables that are being proposed are grossly insufficient to make up for income lost . The issue of documentation has been inappropriately linked to the issue of RVUs and reimbursement ."
233,,NEGATIVE,-0.9866814613342285,CMS-2018-0076-0460," While the costs of health care are out of control, devaluing doctors is not the way to curb the insanity . In doing so you are taking one vital part of the equation and de incentivizing . I am a provider who sees chronic dengenerative disease, I love my patients . I love counseling, spending time, holding their hand, listening...none of this is reimbursable or value based, you are coercing the compsssion out of care ."
234,"['DepartmentofHealthandHumanServices', 'C', 'HS', 'melindaki']",NEGATIVE,-0.9975671172142029,CMS-2018-0090-1458," Melinda Kirkland: I support home care workers and their choice to be union members . The last thing our nations most vulnerable populations need is an attack on our ability to come together to join a union . Home care unions fight for seniors and people with disabilities, and to protect programs like IHSS ."
235,"['DepartmentofHealthandHumanServices', 'C', 'HS', 'HS', 'ique']",NEGATIVE,-0.9976017475128174,CMS-2018-0090-1460, The last thing our nations most vulnerable populations need is an attack on our ability to come together to join a union . Any attempt to weaken our unions is an attempt to attack the home care programs that so many seniors and people with disabilities rely on for survival . Home care providers are overwhelmingly women and people of color who work tirelessly to provide care .
236,['CMS'],NEGATIVE,-0.9997777938842773,CMS-2018-0076-0407," Family Physician sees primarily older, Chronically ill patients with multiple complex comorbidities . CMS paid essentially the equivalent of a level 3 visit for what should be a 5 based on effort, time, complexity and documentation . This would force  physicians who care for the sickest and most complex patients to either drop the panel for a young and well panel of patients who can be seen very quickly ."
237,"['DepartmentofHealthandHumanServices', 'C', 'HS', 'christina']",NEGATIVE,-0.9975096583366394,CMS-2018-0090-1518," Christina Griffin: I support home care workers and their choice to be union members . The last thing our nations most vulnerable populations need is an attack on our ability to come together to join a union . Home care unions fight for seniors and people with disabilities, and to protect programs like IHSS ."
238,"['NegreyEyeAssociates', 'rt']",NEGATIVE,-0.9778298735618591,CMS-2015-0033-1266," While there are benefits to EMR, they pale in comparison to the tedious requirements needed to fulfill meaningful use . EMR was not allowed to grow organically. It electronic records are better than providers would have adapted just as people migrated from landlines to cellphones and wagons to cars ."
239,,NEGATIVE,-0.9996470212936401,CMS-2015-0033-1257," The MU program as a whole has provided no appreciable benefit in regards to patient care--rather, it has sapped valuable patient care time in favor of rote data entry . These regulations serve to divert physician time from patient care and have led to the addition of chart data points into medical records that are unrelated to providing high quality patient care ."
240,"['CMS', 'Healthsouth', 'CMS']",NEGATIVE,-0.9993516206741333,CMS-2015-0033-1277, The current and proposed meaningful use program for EHRs is and has been beyond time consuming and takes away valuable time from patient care . Last year I attempted to complete the necessary requirements and was rejected as the supposed correct codes were not applicable . I am being penalized for not being compliant in a system set up for failure .
241,,NEGATIVE,-0.9972794055938721,CMS-2015-0033-1281," Mandatory electronic health records, Meaningful Use, and PQRS are prime examples of government overreach and idealistic bureaucrats burdening a profession about which they are completely ignorant . Practicing physicians' morals, ethics, compassion, and fear of litigation also serve to encourage the delivery of high quality care ."
247,"['Administration', 'TrumpAdministration']",POSITIVE,0.9664820432662964,CMS-2018-0075-2226," In 2014, the Obama Administration proposed a regulation that sought to undermine this long-established policy . Antidepressants, antipsychotics, immunosuppressants, antiretrovirals, antineoplastics and anticonvulsants are among the six protected classes . The protected classes policy is essential for maintaining access to the most appropriate treatment for Medicare beneficiaries ."
248,,NEGATIVE,-0.9996711015701294,CMS-2018-0076-0008," QPP bonus for small practices is being reduced to 3 and buried into the quality category rather than added at the end . After 2 years of reassuring small practices who don't have the resources or infrastructure to compete fairly with the large organizations, it is proposed to be taken away even before we are able to enjoy any benefit ."
250,,NEGATIVE,-0.9526967406272888,CMS-2018-0106-0233, Climate change makes strong and often devastating storms and fires more common . Relaxing standards for emergency preparedness seems not only counter productive but also dangerous . It is essential that staff and residents are prepared for emergencies . Given the amount of turnover at most skilled nursing facilities this training needs to be repeated and updated often .
251,['CertifiedRuralHealthClinic'],POSITIVE,0.9991016387939453,CMS-2018-0106-0195," I am in favor of the proposed changes to the emergency preparedness requirements for healthcare entities . I don't feel that I can ask my staff to do one more thing, so the ""extra"" requirements that come along are my responsibilities . In a perfect world, I would hire a compliance officer to handle all of this so that I could keep up with my work ."
252,,NEGATIVE,-0.9987600445747375,CMS-2018-0106-0211," The proposed rule to help relieve the burden on healthcare providers is risking the health and safety of those who are subjected to the new policy changes . Emergency preparedness training every two years instead of one year is extremely dangerous in the sense that the staff members are not properly trained on the most up to date information, training, and procedures ."
253,['Prepar'],NEGATIVE,-0.9987576007843018,CMS-2018-0106-0217," Changes to Emergency Preparedness will only allow a level of complacency that would not otherwise exist . An annual review is still needed due to MOA/MOU agreements needing updated, contact info, etc... 2 year reviews would only cause more headaches on updating . I think that the reduction of out patient providers is not the best idea ."
255,"['H&P', 'ASC', 'ASC', 'ASC']",NEGATIVE,-0.9145100712776184,CMS-2018-0106-0231, I am in favor of removing the 30-day H&P rule for ASC's . I agree with the logic that procedures done at ASC's are inherently less risky than surgeries performed in an inpatient setting . Deferring to the ASC's set policy (which naturally would be reviewed during agency inspections) is a better way .
257,"['CMS', 'AS', 'AS']",NEGATIVE,-0.97227942943573,CMS-2018-0106-0183," CMS-proposed regulatory changes that affect ambulatory surgery centers (ASCs) These changes are 1. Eliminate the mandatory Transfer Agreement between ASCs and local hospitals . Change the requirement for a Comprehensive History and Physical Examination on all ASC patients to something more reasonable, tailored to the patient and to the surgery ."
259,,NEGATIVE,-0.9979711174964905,CMS-2018-0106-0191," The rules requiring Long Term Care facilities to train staff annually on emergency preparedness should continue should continue, says Ombudsman volunteer . Saving money should not be the determining factor, saving lives should, says volunteer . In numerous recent natural emergencies deaths have been the direct result of untrained staff not knowing how to follow protocol in an emergency ."
260,"['HoustonFireDepartment', 'EMS', '1']",NEGATIVE,-0.9992267489433289,CMS-2018-0106-013, I have not seen hardly adequate training or notice of training as I had my Father in VA Nursing Home when was resident for 6 years . My Father fell and broke his hip due to staff not coming or was adequate to watch my Father . A bad flu knocks out entire cities healthcare resources almost every time especially in Dallas area .
261,"['CMS', 'CMS', 'CMS', 'CMS']",NEGATIVE,-0.9838328957557678,CMS-2018-0106-0138," The current regulations sensibly require annual updates to emergency plans, policies and procedures . The regulations require that staff receive annual training in emergency preparedness . CMS proposes to reduce these annual requirements to every-other-year requirements . Neumann: The effort and expense of annual updating and training is far outweighed by the benefit of an emergency ."
262,"['CMS', 'CMS', 'CMS', 'CMS', 'XT']",NEGATIVE,-0.9976643919944763,CMS-2018-0106-0186," CMS proposes to change the review of the emergency program to every TWO years, instead of the current requirement of every two years . Require that facilities provide training biennially (every two years), after facilities conduct initial training for their emergency program . For inpatient providers, CMS will expand the types of acceptable testing exercises that may be conducted ."
